CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,LLP Identification Number,Main division of business activity to be carried out in India,Description of main division,Number Of Partners,Number of Designated Partners,Unnamed: 0
U70100MH2001PTC134325,SAJAL REALITIES PRIVATE LIMITED,Active,RoC-Mumbai,134325,Company limited by Shares,Non-govt company,Private,26 December 2001,"20 years, 2 month, 30 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]  Click here to see other companies involved in same activity.",-,,,,,,
U17110MH2001PTC133169,SAJALA ORGANDIE PRIVATE LIMITED,Active,RoC-Mumbai,133169,Company limited by Shares,Non-govt company,Private,28 August 2001,"20 years, 6 month, 28 days","Spinning, weaving and finishing of textiles.  Click here to see other companies involved in same activity.",-,,,,,,
U01100WB2017PTC223837,SAJALDHARA PRODUCER COMPANY LIMITED,Active,RoC-Kolkata,223837,Company limited by Shares,Non-govt company,Private,12 December 2017,"4 years, 3 month, 13 days",Growing of crops; market gardening; horticulture  Click here to see other companies involved in same activity.,-,,,,,,
U45203UP1991PTC012979,SAJAM HOUSING CO PRIVATE LIMITED,Active,RoC-Kanpur,12979,Company limited by Shares,Non-govt company,Private,02 April 1991,"30 years, 11 month, 23 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U45200KL2013PTC035112,SAJAM REALTORS PRIVATE LIMITED,Active,RoC-Ernakulam,35112,Company limited by Shares,Non-govt company,Private,01 October 2013,"8 years, 5 month, 24 days",Building of complete constructions or parts thereof; civil engineering  Click here to see other companies involved in same activity.,-,,,,,,
U11100UP2020PTC139262,SAJAN BIO CLEAN FUEL PRIVATE LIMITED,Active,RoC-Kanpur,139262,Company limited by Shares,Non-govt company,Private,15 December 2020,"1 years, 3 month, 10 days","Extraction of crude petroleum and natural gas [including liquefaction/ regasification of natural gas for purposes of transport and the production, at the mining site, of hydrocarbons from oil or gas field gases ]  Click here to see other companies involved in same activity.",-,,,,,,
U51103DL2012PTC237300,SAJAN ENGINEERING WORKS PRIVATE LIMITED,Active,RoC-Delhi,237300,Company limited by Shares,Non-govt company,Private,12 June 2012,"9 years, 9 month, 13 days","Wholesale on a fee or contract basis. [Includes commission agents, commodity brokers and auctioneers and all other wholesalers who trade on behalf and on the account of others. Activities of self employed auctioneers are included in 74991.]  Click here to see other companies involved in same activity.",-,,,,,,
U74899DL1980PTC010483,SAJAN INTERNATIONAL PVT LTD,Active,RoC-Delhi,10483,Company limited by Shares,Non-govt company,Private,28 May 1980,"41 years, 9 month, 28 days",OTHER BUSINESS ACTIVITIES  Click here to see other companies involved in same activity.,-,,,,,,
,SAJAN TRADERS LLP,Active,RoC-Pune,,,,,27 July 2017,"4 years, 7 month, 29 days",,,AAK-1459,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Wholesale trade and commission trade, except of motor vehicles and motorcycles",0,2,
U51909AP2018PTC108441,SAJANSTAR IMPORTS AND EXPORTS PRIVATE LIMITED,Active,RoC-Vijayawada,108441,Company limited by Shares,Non-govt company,Private,18 May 2018,"3 years, 10 month, 7 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]  Click here to see other companies involved in same activity.,-,,,,,,
